Model,Source,DPD,DI,∆TPR (EoO),∆FPR,∆PPV,∆Accuracy,EOD
pred_decision_tree,Real,0.11480311343241989,0.7400760495174437,0.10525551684088275,0.08435374149659863,0.08213354199269696,-0.0197206647110435,0.10525551684088275
pred_logistic_regression,Real,0.2664417323457311,0.45264525911084635,0.30168408826945414,0.17687074829931973,0.02155671804234105,0.014279312695107294,0.30168408826945414
pred_random_forest,Real,0.14293622132934675,0.7189358094349543,0.12209639953542395,0.11473922902494332,0.06705551167547641,-0.017141200260582412,0.12209639953542395
pred_svm,Real,0.26333131243904373,0.45555616109869745,0.3072009291521487,0.17324263038548754,0.05074025652803793,0.018097673210096366,0.3072009291521487
pred_xgboost,Real,0.20177437029059453,0.5689670428676004,0.2590011614401858,0.1056689342403628,0.1207490184234371,0.035400796056620165,0.2590011614401858
pred_decision_tree,Synthetic,0.048309178743961345,1.1139601139601139,0.07413793103448274,-0.023846153846153836,-0.010558069381598756,0.056360708534621606,0.07413793103448274
pred_logistic_regression,Synthetic,0.04066022544283415,1.098440545808967,0.1586206896551724,-0.08153846153846153,0.06981740064446829,0.12922705314009664,0.1586206896551724
pred_random_forest,Synthetic,0.06682769726247989,1.157644824311491,0.030172413793103425,-0.0030769230769230743,-0.027092404450895002,0.02254428341384862,0.030172413793103425
pred_svm,Synthetic,0.04871175523349436,1.1358024691358024,0.10258620689655173,-0.06153846153846154,0.053030303030303094,0.10265700483091789,0.10258620689655173
pred_xgboost,Synthetic,0.048309178743961345,1.1139601139601139,0.06465517241379315,-0.0030769230769230743,-0.02413273001508287,0.04106280193236711,0.06465517241379315
