Model,Source,DPD,DI,∆TPR (EoO),∆FPR,∆PPV,∆Accuracy,EOD
pred_decision_tree,Real,0.11480311343241989,0.7400760495174437,0.10525551684088275,0.08435374149659863,0.08213354199269696,-0.0197206647110435,0.10525551684088275
pred_logistic_regression,Real,0.2664417323457311,0.45264525911084635,0.30168408826945414,0.17687074829931973,0.02155671804234105,0.014279312695107294,0.30168408826945414
pred_random_forest,Real,0.14293622132934675,0.7189358094349543,0.12209639953542395,0.11473922902494332,0.06705551167547641,-0.017141200260582412,0.12209639953542395
pred_svm,Real,0.26333131243904373,0.45555616109869745,0.3072009291521487,0.17324263038548754,0.05074025652803793,0.018097673210096366,0.3072009291521487
pred_xgboost,Real,0.20177437029059453,0.5689670428676004,0.2590011614401858,0.1056689342403628,0.1207490184234371,0.035400796056620165,0.2590011614401858
pred_decision_tree,Synthetic,0.07506783237865544,1.1316763617133792,-0.10384615384615381,-0.18193803559657218,0.1346994535519126,0.0159782936388303,0.18193803559657218
pred_logistic_regression,Synthetic,0.020299467390212045,0.9649670482136663,-0.008241758241758323,-0.11667765326301913,0.10235732009925558,0.03838810169832174,0.11667765326301913
pred_random_forest,Synthetic,0.0016078786051653138,0.9971326164874552,-0.026923076923076827,-0.1114040870138431,0.10641025641025648,0.025324088031353664,0.1114040870138431
pred_svm,Synthetic,0.008139885438649297,0.9861751152073734,-0.03736263736263745,-0.11931443638760711,0.09523809523809523,0.023414732187719833,0.11931443638760711
pred_xgboost,Synthetic,0.018892573610692298,0.9679126130739035,-0.04175824175824172,-0.06262359920896507,0.06858340820604969,-0.0004019696512913562,0.06262359920896507
