Model,Source,DPD,DI,∆TPR (EoO),∆FPR,∆PPV,∆Accuracy,EOD
pred_decision_tree,Real,0.11480311343241989,0.7400760495174437,0.10525551684088275,0.08435374149659863,0.08213354199269696,-0.0197206647110435,0.10525551684088275
pred_logistic_regression,Real,0.2664417323457311,0.45264525911084635,0.30168408826945414,0.17687074829931973,0.02155671804234105,0.014279312695107294,0.30168408826945414
pred_random_forest,Real,0.14293622132934675,0.7189358094349543,0.12209639953542395,0.11473922902494332,0.06705551167547641,-0.017141200260582412,0.12209639953542395
pred_svm,Real,0.26333131243904373,0.45555616109869745,0.3072009291521487,0.17324263038548754,0.05074025652803793,0.018097673210096366,0.3072009291521487
pred_xgboost,Real,0.20177437029059453,0.5689670428676004,0.2590011614401858,0.1056689342403628,0.1207490184234371,0.035400796056620165,0.2590011614401858
pred_decision_tree,Synthetic,0.06360708534621579,1.129614438063987,0.010207237859573115,-0.15984724495362795,0.07288198298187198,0.07407407407407407,0.15984724495362795
pred_logistic_regression,Synthetic,0.10507246376811591,1.2521739130434781,-0.060315496442932215,-0.15930169121658483,0.06527777777777777,0.035024154589372025,0.15930169121658483
pred_random_forest,Synthetic,0.02133655394524958,0.962223806129722,0.09464893287967835,-0.07474086197490454,0.06295081967213112,0.08494363929146537,0.09464893287967835
pred_svm,Synthetic,0.02657004830917875,1.0956521739130436,-0.08475100525827406,0.05455537370430988,-0.1166666666666667,-0.06682769726247983,0.08475100525827406
pred_xgboost,Synthetic,0.008051529790660261,1.0147383935151069,0.0872254871636251,-0.12984178941625746,0.08707211698238626,0.10466988727858295,0.12984178941625746
